Situation,emotion,empathetic_dialogues,baseline_prediction,baseline_raw_output,theory_prediction,theory_raw_output,theory_estimated_vec,theory_true_vad_error,baseline_correct,theory_correct
When I lost my job.,afraid,"Customer :I recently lost my job, and am having trouble finding another one. 
Agent :",sad,sad,sad,"REASONING: Losing a job is a significant loss causing unpleasant feelings, low energy and dejection, and a reduced sense of control over one’s circumstances. This aligns with sadness rather than anger or fear.
VAD_Estimate: [V: -0.65, A: -0.25, D: -0.35]
EMOTION: sad",[-0.65 -0.25 -0.35],0.8538149682454623,False,False
I hate hate hate riding on trains!,afraid,"Customer :Why is that? Do you not like the train?
Agent :",angry,angry,angry,"REASONING: The speaker expresses strong, repeated aversion toward trains, which signals active irritation and frustration rather than sadness or fear. This is high negative valence, high arousal, and a somewhat assertive outward-directed complaint, consistent with anger.
VAD_Estimate: [V: -0.65, A: +0.65, D: +0.25]
EMOTION: angry",[-0.65  0.65  0.25],0.6819090848492927,False,False
My crush keeps hanging out with a new guy classmate a lot lately.,afraid,"Customer :My crush keeps hanging out with a new guy classmate a lot lately
Agent :",sad,sad,sad,"REASONING: The situation involves ongoing romantic jealousy and insecurity, with the speaker feeling left out and powerless over their crush’s attention. This creates a negative, low-energy, vulnerable emotional state rather than an active or assertive response.  
VAD_Estimate: [V: -0.60, A: -0.30, D: -0.40]  
EMOTION: sad",[-0.6 -0.3 -0.4],0.9013878188659973,False,False
Just watched season 2 of Luther last night on Netflix.  Keeps you on the edge of your seat.,afraid,"Customer :Loved it.  Each episode gives me nightmares.  Great show!
Agent :",joyful,joyful,joyful,"REASONING: The person is describing a thrilling, engaging viewing experience; ""keeps you on the edge of your seat"" signals high arousal and excitement, with an overall positive/entertaining tone rather than fear or sadness.
VAD_Estimate: [V: +0.65, A: +0.60, D: +0.25]
EMOTION: joyful",[0.65 0.6  0.25],1.4582523787054147,False,False
I'm going to be across the ocean from my girlfriend for school.,afraid,"Customer :Nice! Is she happy about it?
Agent :",sad,sad,sad,"REASONING: The situation involves prolonged separation from a loved one, which evokes sadness, longing, and low energy rather than anger or fear. It is a passive, unchangeable circumstance leading to low pleasure, low-to-moderate arousal, and reduced control.
VAD_Estimate: [V: -0.60, A: -0.20, D: -0.35]
EMOTION: sad",[-0.6  -0.2  -0.35],0.8049844718999244,False,False
Amusement park this weekend,afraid,"Customer :Why weird
Agent :",joyful,joyful,joyful,"REASONING: The phrase anticipates an enjoyable leisure outing, implying positive excitement and eager anticipation rather than fear or sadness. VAD is high in pleasure, moderately high in arousal, and somewhat empowered/positive.
VAD_Estimate: [V: +0.70, A: +0.50, D: +0.30]
EMOTION: joyful",[0.7 0.5 0.3],1.529215485142627,False,False
I am really not liking Mondays.,afraid,"Customer :I am really not liking Mondays.
Agent :",sad,sad,angry,"REASONING: The speaker expresses irritation and displeasure about Mondays, which is a complaint rather than passive sadness or fear. This indicates negative valence with moderate arousal and a mildly assertive tone.

VAD_Estimate: [V: -0.50, A: +0.55, D: +0.20]
EMOTION: angry",[-0.5   0.55  0.2 ],0.6473020933072904,False,False
i hate when my friend speeds down the interstate for no reason whatsoever,afraid,"Customer :i keep warning him but he does not listen
Agent :",angry,angry,angry,"REASONING: The explicit word “hate” signals strong displeasure and irritation directed at the friend’s reckless behavior, with active frustration rather than fear or sadness. This matches high negative valence, elevated arousal, and assertive frustration/anger.
VAD_Estimate: [V: -0.60, A: +0.60, D: +0.30]
EMOTION: angry",[-0.6  0.6  0.3],0.7310950690573695,False,False
birth of my first child,afraid,"Customer :i was a nervous wreck when my son was born!
Agent :",joyful,joyful,joyful,"REASONING: The birth of a first child is a profoundly positive, life-changing event, producing intense happiness, excitement, and a strong sense of empowerment and connection.
VAD_Estimate: [V: +0.85, A: +0.70, D: +0.45]
EMOTION: joyful",[0.85 0.7  0.45],1.7333493589002766,False,False
The other day I found an iguana in my backyard. I hate iguanas!,afraid,"Customer :Oh no! I think they're cute but I'd probably be freaked out if I saw one in my yard, too. What did you do?
Agent :",angry,angry,angry,"REASONING: The explicit word “hate” signals active irritation and dislike rather than fear or sadness. This creates negative valence, moderately high arousal, and assertive control toward the iguana.
VAD_Estimate: [V: -0.65, A: +0.55, D: +0.30]
EMOTION: angry",[-0.65  0.55  0.3 ],0.7317786550590281,False,False
I don't think I' going to like this semester. I didnt get any of the classes I want,afraid,"Customer :Oh dang! Did you file for classes late?
Agent :",sad,sad,sad,"REASONING: Not getting desired classes is a disappointing, uncontrollable outcome that triggers resignation and low-energy displeasure rather than active frustration or fear.
VAD_Estimate: [V: -0.55, A: -0.25, D: -0.35]
EMOTION: sad",[-0.55 -0.25 -0.35],0.85848704125339,False,False
i cant wait for monday!,afraid,"Customer :i cant wait for monday!
Agent :",joyful,joyful,joyful,"REASONING: The speaker expresses eager anticipation and excitement about Monday, indicating positive feelings and heightened arousal.
VAD_Estimate: [V: +0.70, A: +0.55, D: +0.30]
EMOTION: joyful",[0.7  0.55 0.3 ],1.5267612779999364,False,False
I invested in cryptocurrency last year but the market is looking pretty bad.,afraid,"Customer :Oh that's awful! I invested 6,000 in January and I'm down to $150 now. I sold off a lot to pay bills but if I wait for it to go back up I can maybe recover 1,500. 
Agent :",sad,sad,sad,"REASONING: The situation involves a disappointing financial outcome with no clear target for blame, leading to resignation and concern rather than active anger or panic. This is mildly negative in mood with low energy and a sense of diminished control, fitting dejection/disappointment.
VAD_Estimate: [V: -0.55, A: -0.25, D: -0.35]
EMOTION: sad",[-0.55 -0.25 -0.35],0.85848704125339,False,False
