Situation,emotion,empathetic_dialogues,baseline_prediction,baseline_raw_output,theory_prediction,theory_raw_output,theory_estimated_vec,theory_true_vad_error,baseline_correct,theory_correct,true_macro_3d,baseline_macro_3d,theory_macro_3d,baseline_vad_error,theory_vad_error
I overdrafted my bank account.,afraid,"Customer :I have been there, my friend. But, the good news is, if you aren't typically late for your bills, the utilities companies will often cut you a break.
Agent :",sad,sad,afraid,"REASONING: Overdrafting is a negative financial event that likely triggers immediate stress and anxiety, with a sense of losing control over one’s finances. This maps to high displeasure, high arousal, and low dominance rather than anger or calm sadness.
VAD_Estimate: [V: -0.65, A: +0.55, D: -0.45]
EMOTION: afraid",[-0.65  0.55 -0.45],0.05477225575051656,False,True,Negative_High_Submissive,Negative_Moderate_Submissive,Negative_High_Submissive,0.8757853618324527,0.0
When I lost my job.,afraid,"Customer :I recently lost my job, and am having trouble finding another one. 
Agent :",sad,sad,sad,"REASONING: Losing a job is a significant loss causing unpleasant feelings, low energy and dejection, and a reduced sense of control over one’s circumstances. This aligns with sadness rather than anger or fear.
VAD_Estimate: [V: -0.65, A: -0.25, D: -0.35]
EMOTION: sad",[-0.65 -0.25 -0.35],0.8538149682454623,False,False,Negative_High_Submissive,Negative_Moderate_Submissive,Negative_Moderate_Submissive,0.8757853618324527,0.8757853618324527
Roller coaster riding next week,afraid,"Customer :oh why is that?
Agent :",joyful,joyful,afraid,"REASONING: The situation mentions an upcoming roller coaster ride without any positive excitement words; the focus is on anticipation of an intimidating event, which evokes anxiety and a sense of vulnerability. High unpleasantness, high arousal, and low perceived control align with fear.
VAD_Estimate: [V: -0.64, A: +0.60, D: -0.43]
EMOTION: afraid",[-0.64  0.6  -0.43],0.0,False,True,Negative_High_Submissive,Positive_High_Dominant,Negative_High_Submissive,1.607109205996904,0.0
my friend was speeding down the road because he wanted to show off the new car he had just bought,afraid,"Customer :Sounds like it was worth the ticket, what kind of caR? 
Agent :",joyful,joyful,afraid,"REASONING: The situation involves reckless speeding, which is an inherently risky activity; the speaker is likely experiencing anxiety or dread due to lack of control over the dangerous situation, rather than anger or joy. This maps to high negative valence, high arousal, and low dominance.
VAD_Estimate: [V: -0.65, A: +0.60, D: -0.45]
EMOTION: afraid",[-0.65  0.6  -0.45],0.022360679774997918,False,True,Negative_High_Submissive,Positive_High_Dominant,Negative_High_Submissive,1.607109205996904,0.0
I hate hate hate riding on trains!,afraid,"Customer :Why is that? Do you not like the train?
Agent :",angry,angry,angry,"REASONING: The speaker expresses strong, repeated aversion toward trains, which signals active irritation and frustration rather than sadness or fear. This is high negative valence, high arousal, and a somewhat assertive outward-directed complaint, consistent with anger.
VAD_Estimate: [V: -0.65, A: +0.65, D: +0.25]
EMOTION: angry",[-0.65  0.65  0.25],0.6819090848492927,False,False,Negative_High_Submissive,Negative_High_Moderate,Negative_High_Moderate,0.6923871749245504,0.6923871749245504
I think my boyfriend is cheating on me,afraid,"Customer :ormation
Agent :",sad,sad,afraid,"REASONING: The situation is distressing and marked by uncertainty, with high arousal from anxious suspicion and low dominance due to vulnerability and lack of control over the outcome.
VAD_Estimate: [V: -0.60, A: +0.60, D: -0.35]
EMOTION: afraid",[-0.6   0.6  -0.35],0.08944271909999162,False,True,Negative_High_Submissive,Negative_Moderate_Submissive,Negative_High_Submissive,0.8757853618324527,0.0
Once I studied really hard for a physics quiz and then I tried to set an alarm to wake up for it. Instead I slept through it and thought I was gonna get a zero on the quiz.,afraid,"Customer :Yeah I lied to the professor and he let me do it later that day.
Agent :",sad,sad,afraid,"REASONING: The situation is negative because oversleeping after studying hard likely leads to failing the quiz, creating immediate worry and helplessness. Arousal is high from panic/self-blame, while dominance is low because the outcome feels out of control.

VAD_Estimate: [V: -0.65, A: +0.55, D: -0.40]

EMOTION: afraid",[-0.65  0.55 -0.4 ],0.05916079783099609,False,True,Negative_High_Submissive,Negative_Moderate_Submissive,Negative_High_Submissive,0.8757853618324527,0.0
My crush keeps hanging out with a new guy classmate a lot lately.,afraid,"Customer :My crush keeps hanging out with a new guy classmate a lot lately
Agent :",sad,sad,sad,"REASONING: The situation involves ongoing romantic jealousy and insecurity, with the speaker feeling left out and powerless over their crush’s attention. This creates a negative, low-energy, vulnerable emotional state rather than an active or assertive response.  
VAD_Estimate: [V: -0.60, A: -0.30, D: -0.40]  
EMOTION: sad",[-0.6 -0.3 -0.4],0.9013878188659973,False,False,Negative_High_Submissive,Negative_Moderate_Submissive,Negative_Moderate_Submissive,0.8757853618324527,0.8757853618324527
"I finally got over my fear of heights! But before that, I had never been so scared in my life. I went sky-diving.",afraid,"Customer :I finally got over my fear of heights! But before that, I had never been so scared in my life. I went sky-diving so I had to jump off a plane!
Agent :",joyful,joyful,afraid,"REASONING: The speaker explicitly says they had “never been so scared,” and this refers to the sky-diving experience itself, not a joyful reflection. That fear involves high arousal and a sense of vulnerability/lack of control.
VAD_Estimate: [V: -0.64, A: +0.60, D: -0.43]
EMOTION: afraid",[-0.64  0.6  -0.43],0.0,False,True,Negative_High_Submissive,Positive_High_Dominant,Negative_High_Submissive,1.607109205996904,0.0
Just watched season 2 of Luther last night on Netflix.  Keeps you on the edge of your seat.,afraid,"Customer :Loved it.  Each episode gives me nightmares.  Great show!
Agent :",joyful,joyful,joyful,"REASONING: The person is describing a thrilling, engaging viewing experience; ""keeps you on the edge of your seat"" signals high arousal and excitement, with an overall positive/entertaining tone rather than fear or sadness.
VAD_Estimate: [V: +0.65, A: +0.60, D: +0.25]
EMOTION: joyful",[0.65 0.6  0.25],1.4582523787054147,False,False,Negative_High_Submissive,Positive_High_Dominant,Positive_High_Dominant,1.607109205996904,1.607109205996904
I was so scared but I went skydiving! It was a great experience and I'm so glad I was able to overcome my fears.,afraid,"Customer :Oh wow! Are you afraid of heights at all?
Agent :",joyful,joyful,afraid,"REASONING: The speaker explicitly says ""I was so scared"" during the skydive, which anchors the in-the-moment emotion to fear; later feelings of gladness are retrospective after overcoming the fear, not the emotion felt during the event. Fear is characterized by high displeasure, high arousal, and low control/vulnerability.
VAD_Estimate: [V: -0.64, A: +0.60, D: -0.43]
EMOTION: afraid",[-0.64  0.6  -0.43],0.0,False,True,Negative_High_Submissive,Positive_High_Dominant,Negative_High_Submissive,1.607109205996904,0.0
I'm going to be across the ocean from my girlfriend for school.,afraid,"Customer :Nice! Is she happy about it?
Agent :",sad,sad,sad,"REASONING: The situation involves prolonged separation from a loved one, which evokes sadness, longing, and low energy rather than anger or fear. It is a passive, unchangeable circumstance leading to low pleasure, low-to-moderate arousal, and reduced control.
VAD_Estimate: [V: -0.60, A: -0.20, D: -0.35]
EMOTION: sad",[-0.6  -0.2  -0.35],0.8049844718999244,False,False,Negative_High_Submissive,Negative_Moderate_Submissive,Negative_Moderate_Submissive,0.8757853618324527,0.8757853618324527
"My house burned down and I had to rescue my family, It was a chilly night.",afraid,"Customer :What a scary night that was.
Agent :",sad,sad,afraid,"REASONING: The situation describes an immediate life-threatening emergency—the house is burning and the speaker must rescue their family—triggering high arousal, strongly negative valence, and a sense of vulnerability and helplessness despite the urgent action. This matches fear rather than anger, sadness, or joy.
VAD_Estimate: [V: -0.70, A: +0.70, D: -0.40]
EMOTION: afraid",[-0.7  0.7 -0.4],0.12041594578792289,False,True,Negative_High_Submissive,Negative_Moderate_Submissive,Negative_High_Submissive,0.8757853618324527,0.0
When my house burned down in middle school. It was in the middle of the night.,afraid,"Customer :It was so terrifying to see my house burn.
Agent :",sad,sad,afraid,"REASONING: The situation describes a sudden, life-threatening house fire at night, an uncontrollable environmental danger. The emotional response would be intense panic and helplessness rather than blame or grief, fitting fear.

VAD_Estimate: [V: -0.70, A: +0.65, D: -0.45]
EMOTION: afraid",[-0.7   0.65 -0.45],0.08062257748298549,False,True,Negative_High_Submissive,Negative_Moderate_Submissive,Negative_High_Submissive,0.8757853618324527,0.0
Amusement park this weekend,afraid,"Customer :Why weird
Agent :",joyful,joyful,joyful,"REASONING: The phrase anticipates an enjoyable leisure outing, implying positive excitement and eager anticipation rather than fear or sadness. VAD is high in pleasure, moderately high in arousal, and somewhat empowered/positive.
VAD_Estimate: [V: +0.70, A: +0.50, D: +0.30]
EMOTION: joyful",[0.7 0.5 0.3],1.529215485142627,False,False,Negative_High_Submissive,Positive_High_Dominant,Positive_High_Dominant,1.607109205996904,1.607109205996904
I was at a scary maze and one of the people there actually scared me! It was super funny afterwords,afraid,"Customer :I do not like scary! I try to stay away from scary movies, too!
Agent :",joyful,joyful,afraid,"REASONING: The explicit emotion word “scared” anchors the feeling during the event to fear, even though the speaker later found it funny. During the scare, valence was negative, arousal was high, and dominance was low due to feeling startled and vulnerable.
VAD_Estimate: [V: -0.65, A: +0.60, D: -0.45]
EMOTION: afraid",[-0.65  0.6  -0.45],0.022360679774997918,False,True,Negative_High_Submissive,Positive_High_Dominant,Negative_High_Submissive,1.607109205996904,0.0
I am really not liking Mondays.,afraid,"Customer :I am really not liking Mondays.
Agent :",sad,sad,angry,"REASONING: The speaker expresses irritation and displeasure about Mondays, which is a complaint rather than passive sadness or fear. This indicates negative valence with moderate arousal and a mildly assertive tone.

VAD_Estimate: [V: -0.50, A: +0.55, D: +0.20]
EMOTION: angry",[-0.5   0.55  0.2 ],0.6473020933072904,False,False,Negative_High_Submissive,Negative_Moderate_Submissive,Negative_High_Moderate,0.8757853618324527,0.6923871749245504
