Situation,emotion,empathetic_dialogues,baseline_prediction,baseline_raw_output,theory_prediction,theory_raw_output,theory_estimated_vec,theory_true_vad_error,baseline_correct,theory_correct
"I used to be terrified of approaching attractive women, let alone get their numbers...but I found out the easiest way to overcome that irrational fear is to level with them like a friend, instead of a prize to be won / objectified.",afraid,"Customer :Back then I was a big chicken and couldn't approach women, let alone get numbers.  But I discovered that the easiest way to overcome that irrational fear is to level with them like a friend, instead of seeing them as a prize to be won / objectified.
Agent :",joyful,joyful,afraid,"REASONING: The explicit phrase ""used to be terrified"" anchors the emotion to the past experience, which was unpleasant, highly arousing, and marked by vulnerability. Later coping insight does not override the emotion felt during the described event.
VAD_Estimate: [V: -0.64, A: +0.60, D: -0.43]
EMOTION: afraid",[-0.64  0.6  -0.43],0.0,False,True
"My car broke down yesterday and they say it might be the transmission. If so, I'd need a new car and that's hard to do right now",afraid,"Customer :Oh no! Sorry to hear that. How are you planning to get it fixed?
Agent :",sad,sad,afraid,"REASONING: The car breakdown and possible transmission failure create an unpleasant, stressful situation with no clear person to blame. The uncertainty about needing a new car and financial difficulty triggers worry and vulnerability, with high arousal and low control.
VAD_Estimate: [V: -0.55, A: +0.50, D: -0.40]
EMOTION: afraid",[-0.55  0.5  -0.4 ],0.13784048752090217,False,True
I am sitting in my house right now. The power just went out because of this big storm!,afraid,"Customer :I am in a storm right now.
Agent :",surprised,surprised,afraid,"REASONING: The sudden power outage during a big storm creates an environmental, uncontrollable threat, producing negative valence, heightened arousal, and a vulnerable sense of low control.
VAD_Estimate: [V: -0.60, A: +0.60, D: -0.45]
EMOTION: afraid",[-0.6   0.6  -0.45],0.044721359549995836,False,True
I kept hearing odd sounds all night... it turned out to be a racoon in the attic,afraid,"Customer :That would scare the heck out of me! How did you find out what it was?
Agent :",surprised,surprised,afraid,"REASONING: The unknown source of the odd sounds at night creates unease and hypervigilance, with little control over the situation, so mild negative valence, moderate-to-high arousal, and low dominance fit best.
VAD_Estimate: [V: -0.55, A: +0.55, D: -0.45]
EMOTION: afraid",[-0.55  0.55 -0.45],0.1048808848170151,False,True
my friend was speeding down the road because he wanted to show off the new car he had just bought,afraid,"Customer :Sounds like it was worth the ticket, what kind of caR? 
Agent :",joyful,joyful,afraid,"REASONING: The friend’s reckless speeding creates an unpredictable and potentially dangerous situation, making the speaker feel tense, helpless, and on high alert rather than excited or angry.
VAD_Estimate: [V: -0.65, A: +0.60, D: -0.45]
EMOTION: afraid",[-0.65  0.6  -0.45],0.022360679774997918,False,True
I think my boyfriend is cheating on me,afraid,"Customer :ormation
Agent :",sad,sad,afraid,"REASONING: The speaker expresses uncertain suspicion of betrayal, which creates anxious, negative arousal and a sense of vulnerability from lack of control over the relationship. This aligns more with fear/anxiety than with active anger or resignation.

VAD_Estimate: [V: -0.60, A: +0.45, D: -0.40]

EMOTION: afraid",[-0.6   0.45 -0.4 ],0.15811388300841894,False,True
Once I studied really hard for a physics quiz and then I tried to set an alarm to wake up for it. Instead I slept through it and thought I was gonna get a zero on the quiz.,afraid,"Customer :Yeah I lied to the professor and he let me do it later that day.
Agent :",sad,sad,afraid,"REASONING: Sleeping through an important quiz creates sudden anxiety and dread about the consequence (getting a zero). The situation feels uncontrollable and self-caused, with no external target for blame, producing high-arousal negative affect and low dominance.
VAD_Estimate: [V: -0.65, A: +0.60, D: -0.45]
EMOTION: afraid",[-0.65  0.6  -0.45],0.022360679774997918,False,True
I got new neighbors and I don't think they are too nice. I don't want to speak to them,afraid,"Customer :I don't think my new neighbors are nice people
Agent :",disgusted,disgusted,afraid,"REASONING: The speaker negatively judges the neighbors and actively avoids interacting with them, suggesting unease and withdrawal rather than anger or sadness. This is mildly negative, moderately arousing, and reflects low dominance/vulnerability.
VAD_Estimate: [V: -0.40, A: +0.20, D: -0.35]
EMOTION: afraid",[-0.4   0.2  -0.35],0.47328638264796924,False,True
I think my boyfriend is cheating on me,afraid,"Customer :That's terrible. Have you confronted him about it?
Agent :",sad,sad,afraid,"REASONING: The situation involves suspicion of betrayal, creating anxious uncertainty rather than confirmed blame. Valence is negative, arousal is elevated due to worry, and dominance is low because the speaker feels vulnerable and lacks control over the outcome.  
VAD_Estimate: [V: -0.65, A: +0.58, D: -0.45]  
EMOTION: afraid",[-0.65  0.58 -0.45],0.030000000000000027,False,True
"I finally got over my fear of heights! But before that, I had never been so scared in my life. I went sky-diving.",afraid,"Customer :I finally got over my fear of heights! But before that, I had never been so scared in my life. I went sky-diving so I had to jump off a plane!
Agent :",joyful,joyful,afraid,"REASONING: The speaker explicitly says they were “scared” during the sky-diving event, so the emotion felt then is fear, regardless of later relief. High displeasure, high arousal, and low control/vulnerability match the afraid prototype.
VAD_Estimate: [V: -0.64, A: +0.60, D: -0.43]
EMOTION: afraid",[-0.64  0.6  -0.43],0.0,False,True
