Situation,emotion,empathetic_dialogues,baseline_prediction,baseline_raw_output,theory_prediction,theory_raw_output,theory_estimated_vec,theory_true_vad_error,baseline_correct,theory_correct
I overdrafted my bank account.,afraid,"Customer :I have been there, my friend. But, the good news is, if you aren't typically late for your bills, the utilities companies will often cut you a break.
Agent :",sad,sad,afraid,"REASONING: Overdrafting is a negative financial event that likely triggers immediate stress and anxiety, with a sense of losing control over one’s finances. This maps to high displeasure, high arousal, and low dominance rather than anger or calm sadness.
VAD_Estimate: [V: -0.65, A: +0.55, D: -0.45]
EMOTION: afraid",[-0.65  0.55 -0.45],0.05477225575051656,False,True
Roller coaster riding next week,afraid,"Customer :oh why is that?
Agent :",joyful,joyful,afraid,"REASONING: The situation mentions an upcoming roller coaster ride without any positive excitement words; the focus is on anticipation of an intimidating event, which evokes anxiety and a sense of vulnerability. High unpleasantness, high arousal, and low perceived control align with fear.
VAD_Estimate: [V: -0.64, A: +0.60, D: -0.43]
EMOTION: afraid",[-0.64  0.6  -0.43],0.0,False,True
my friend was speeding down the road because he wanted to show off the new car he had just bought,afraid,"Customer :Sounds like it was worth the ticket, what kind of caR? 
Agent :",joyful,joyful,afraid,"REASONING: The situation involves reckless speeding, which is an inherently risky activity; the speaker is likely experiencing anxiety or dread due to lack of control over the dangerous situation, rather than anger or joy. This maps to high negative valence, high arousal, and low dominance.
VAD_Estimate: [V: -0.65, A: +0.60, D: -0.45]
EMOTION: afraid",[-0.65  0.6  -0.45],0.022360679774997918,False,True
I think my boyfriend is cheating on me,afraid,"Customer :ormation
Agent :",sad,sad,afraid,"REASONING: The situation is distressing and marked by uncertainty, with high arousal from anxious suspicion and low dominance due to vulnerability and lack of control over the outcome.
VAD_Estimate: [V: -0.60, A: +0.60, D: -0.35]
EMOTION: afraid",[-0.6   0.6  -0.35],0.08944271909999162,False,True
Once I studied really hard for a physics quiz and then I tried to set an alarm to wake up for it. Instead I slept through it and thought I was gonna get a zero on the quiz.,afraid,"Customer :Yeah I lied to the professor and he let me do it later that day.
Agent :",sad,sad,afraid,"REASONING: The situation is negative because oversleeping after studying hard likely leads to failing the quiz, creating immediate worry and helplessness. Arousal is high from panic/self-blame, while dominance is low because the outcome feels out of control.

VAD_Estimate: [V: -0.65, A: +0.55, D: -0.40]

EMOTION: afraid",[-0.65  0.55 -0.4 ],0.05916079783099609,False,True
"I finally got over my fear of heights! But before that, I had never been so scared in my life. I went sky-diving.",afraid,"Customer :I finally got over my fear of heights! But before that, I had never been so scared in my life. I went sky-diving so I had to jump off a plane!
Agent :",joyful,joyful,afraid,"REASONING: The speaker explicitly says they had “never been so scared,” and this refers to the sky-diving experience itself, not a joyful reflection. That fear involves high arousal and a sense of vulnerability/lack of control.
VAD_Estimate: [V: -0.64, A: +0.60, D: -0.43]
EMOTION: afraid",[-0.64  0.6  -0.43],0.0,False,True
I was so scared but I went skydiving! It was a great experience and I'm so glad I was able to overcome my fears.,afraid,"Customer :Oh wow! Are you afraid of heights at all?
Agent :",joyful,joyful,afraid,"REASONING: The speaker explicitly says ""I was so scared"" during the skydive, which anchors the in-the-moment emotion to fear; later feelings of gladness are retrospective after overcoming the fear, not the emotion felt during the event. Fear is characterized by high displeasure, high arousal, and low control/vulnerability.
VAD_Estimate: [V: -0.64, A: +0.60, D: -0.43]
EMOTION: afraid",[-0.64  0.6  -0.43],0.0,False,True
"My house burned down and I had to rescue my family, It was a chilly night.",afraid,"Customer :What a scary night that was.
Agent :",sad,sad,afraid,"REASONING: The situation describes an immediate life-threatening emergency—the house is burning and the speaker must rescue their family—triggering high arousal, strongly negative valence, and a sense of vulnerability and helplessness despite the urgent action. This matches fear rather than anger, sadness, or joy.
VAD_Estimate: [V: -0.70, A: +0.70, D: -0.40]
EMOTION: afraid",[-0.7  0.7 -0.4],0.12041594578792289,False,True
When my house burned down in middle school. It was in the middle of the night.,afraid,"Customer :It was so terrifying to see my house burn.
Agent :",sad,sad,afraid,"REASONING: The situation describes a sudden, life-threatening house fire at night, an uncontrollable environmental danger. The emotional response would be intense panic and helplessness rather than blame or grief, fitting fear.

VAD_Estimate: [V: -0.70, A: +0.65, D: -0.45]
EMOTION: afraid",[-0.7   0.65 -0.45],0.08062257748298549,False,True
I was at a scary maze and one of the people there actually scared me! It was super funny afterwords,afraid,"Customer :I do not like scary! I try to stay away from scary movies, too!
Agent :",joyful,joyful,afraid,"REASONING: The explicit emotion word “scared” anchors the feeling during the event to fear, even though the speaker later found it funny. During the scare, valence was negative, arousal was high, and dominance was low due to feeling startled and vulnerable.
VAD_Estimate: [V: -0.65, A: +0.60, D: -0.45]
EMOTION: afraid",[-0.65  0.6  -0.45],0.022360679774997918,False,True
