Situation,emotion,empathetic_dialogues,baseline_prediction,baseline_raw_output,theory_prediction,theory_raw_output,theory_estimated_vec,theory_true_vad_error,baseline_correct,theory_correct,true_macro_3d,baseline_macro_3d,theory_macro_3d,baseline_vad_error,theory_vad_error
"I used to be terrified of approaching attractive women, let alone get their numbers...but I found out the easiest way to overcome that irrational fear is to level with them like a friend, instead of a prize to be won / objectified.",afraid,"Customer :Back then I was a big chicken and couldn't approach women, let alone get numbers.  But I discovered that the easiest way to overcome that irrational fear is to level with them like a friend, instead of seeing them as a prize to be won / objectified.
Agent :",joyful,joyful,afraid,"REASONING: The explicit phrase ""used to be terrified"" anchors the emotion to the past experience, which was unpleasant, highly arousing, and marked by vulnerability. Later coping insight does not override the emotion felt during the described event.
VAD_Estimate: [V: -0.64, A: +0.60, D: -0.43]
EMOTION: afraid",[-0.64  0.6  -0.43],0.0,False,True,Negative_High_Submissive,Positive_High_Dominant,Negative_High_Submissive,1.607109205996904,0.0
"My car broke down yesterday and they say it might be the transmission. If so, I'd need a new car and that's hard to do right now",afraid,"Customer :Oh no! Sorry to hear that. How are you planning to get it fixed?
Agent :",sad,sad,afraid,"REASONING: The car breakdown and possible transmission failure create an unpleasant, stressful situation with no clear person to blame. The uncertainty about needing a new car and financial difficulty triggers worry and vulnerability, with high arousal and low control.
VAD_Estimate: [V: -0.55, A: +0.50, D: -0.40]
EMOTION: afraid",[-0.55  0.5  -0.4 ],0.13784048752090217,False,True,Negative_High_Submissive,Negative_Moderate_Submissive,Negative_High_Submissive,0.8757853618324527,0.0
I am sitting in my house right now. The power just went out because of this big storm!,afraid,"Customer :I am in a storm right now.
Agent :",surprised,surprised,afraid,"REASONING: The sudden power outage during a big storm creates an environmental, uncontrollable threat, producing negative valence, heightened arousal, and a vulnerable sense of low control.
VAD_Estimate: [V: -0.60, A: +0.60, D: -0.45]
EMOTION: afraid",[-0.6   0.6  -0.45],0.044721359549995836,False,True,Negative_High_Submissive,Neutral_High_Moderate,Negative_High_Submissive,0.7102816342831906,0.0
I kept hearing odd sounds all night... it turned out to be a racoon in the attic,afraid,"Customer :That would scare the heck out of me! How did you find out what it was?
Agent :",surprised,surprised,afraid,"REASONING: The unknown source of the odd sounds at night creates unease and hypervigilance, with little control over the situation, so mild negative valence, moderate-to-high arousal, and low dominance fit best.
VAD_Estimate: [V: -0.55, A: +0.55, D: -0.45]
EMOTION: afraid",[-0.55  0.55 -0.45],0.1048808848170151,False,True,Negative_High_Submissive,Neutral_High_Moderate,Negative_High_Submissive,0.7102816342831906,0.0
When I lost my job.,afraid,"Customer :I recently lost my job, and am having trouble finding another one. 
Agent :",sad,sad,sad,"REASONING: Losing a job is an unpleasant, disempowering event involving loss and uncertainty, often leading to deflation and sadness rather than active anger or panic.
VAD_Estimate: [V: -0.65, A: -0.10, D: -0.40]
EMOTION: sad",[-0.65 -0.1  -0.4 ],0.700713921654194,False,False,Negative_High_Submissive,Negative_Moderate_Submissive,Negative_Moderate_Submissive,0.8757853618324527,0.8757853618324527
I heard a loud bang in the middle of the night.,afraid,"Customer :It sure sounded like it. I was so afraid that I called the police but they couldn't find anything.
Agent :",surprised,surprised,surprised,"REASONING: The sudden loud bang is unexpected and startling, causing high arousal with no clear source of threat or blame, so the dominant reaction is brief surprise rather than sustained fear or anger.
VAD_Estimate: [V: -0.10, A: +0.70, D: -0.20]
EMOTION: surprised",[-0.1  0.7 -0.2],0.5953990258641678,False,False,Negative_High_Submissive,Neutral_High_Moderate,Neutral_High_Moderate,0.7102816342831906,0.7102816342831906
I never drink milk anymore because it made me sick once.,afraid,"Customer :I never drink milk anymore because it made me sick once.
Agent :",disgusted,disgusted,disgusted,"REASONING: The milk caused physical sickness and is now strongly avoided, indicating lingering revulsion and rejection of a contaminated experience. This is negative in valence, moderate in arousal, with active avoidance/control.
VAD_Estimate: [V: -0.55, A: +0.30, D: +0.10]
EMOTION: disgusted",[-0.55  0.3   0.1 ],0.6156297588648554,False,False,Negative_High_Submissive,Negative_High_Moderate,Negative_High_Moderate,0.5964059020499378,0.5964059020499378
my friend was speeding down the road because he wanted to show off the new car he had just bought,afraid,"Customer :Sounds like it was worth the ticket, what kind of caR? 
Agent :",joyful,joyful,afraid,"REASONING: The friend’s reckless speeding creates an unpredictable and potentially dangerous situation, making the speaker feel tense, helpless, and on high alert rather than excited or angry.
VAD_Estimate: [V: -0.65, A: +0.60, D: -0.45]
EMOTION: afraid",[-0.65  0.6  -0.45],0.022360679774997918,False,True,Negative_High_Submissive,Positive_High_Dominant,Negative_High_Submissive,1.607109205996904,0.0
I hate hate hate riding on trains!,afraid,"Customer :Why is that? Do you not like the train?
Agent :",angry,angry,angry,"REASONING: The repeated ""hate"" signals strong negative irritation and frustration, with high arousal and an assertive rejection of train travel rather than helplessness or disgust.
VAD_Estimate: [V: -0.65, A: +0.65, D: +0.20]
EMOTION: angry",[-0.65  0.65  0.2 ],0.6320601237224194,False,False,Negative_High_Submissive,Negative_High_Moderate,Negative_High_Moderate,0.6923871749245504,0.6923871749245504
I think my boyfriend is cheating on me,afraid,"Customer :ormation
Agent :",sad,sad,afraid,"REASONING: The speaker expresses uncertain suspicion of betrayal, which creates anxious, negative arousal and a sense of vulnerability from lack of control over the relationship. This aligns more with fear/anxiety than with active anger or resignation.

VAD_Estimate: [V: -0.60, A: +0.45, D: -0.40]

EMOTION: afraid",[-0.6   0.45 -0.4 ],0.15811388300841894,False,True,Negative_High_Submissive,Negative_Moderate_Submissive,Negative_High_Submissive,0.8757853618324527,0.0
