Situation,emotion,empathetic_dialogues,baseline_prediction,baseline_raw_output,theory_prediction,theory_raw_output,theory_estimated_vec,theory_true_vad_error,baseline_correct,theory_correct
"My car broke down yesterday and they say it might be the transmission. If so, I'd need a new car and that's hard to do right now",afraid,"Customer :Well, I'd have to dip into savings to finance a new car...but that's rough right now when I'm moving apartments
Agent :",afraid,afraid,sad,"REASONING: The situation is negative and involves a practical/financial problem, but there is no clear person to blame and no immediate threat; the tone is more resigned and worried than actively angry or fearful. This points toward low-to-moderate arousal and low control, consistent with sadness.

VAD_Estimate: [V: -0.55, A: -0.10, D: -0.35]
EMOTION: sad",[-0.55 -0.1  -0.35],0.7102816342831905,True,False
"i want to move to new york , buy its all new to me there",afraid,"Customer :I want to evertually move to new york and be closer to my brother and friend , im just a bit afraid as i really dont know much about anything there
Agent :",afraid,afraid,joyful,"REASONING: The speaker expresses a desire to move somewhere new, which suggests positive anticipation and excitement rather than fear or sadness. The novelty is framed as part of the appeal, not as a threat.
VAD_Estimate: [V: +0.70, A: +0.50, D: +0.35]
EMOTION: joyful",[0.7  0.5  0.35],1.5537052487521563,True,False
I was waiting in front of a store one day when a man approached me and whispered something scary in my ear. I was not pleased.,afraid,"Customer :I was waiting when some guy whispered something scary in my ear. I was a bit shaken.
Agent :",afraid,afraid,angry,"REASONING: The speaker attributes the unpleasant experience to a specific person’s intrusive actions and describes the reaction as “not pleased,” reflecting irritation and assertive displeasure rather than helpless terror. This points to high negative valence, moderately high arousal, and moderate dominance/control.
VAD_Estimate: [V: -0.55, A: +0.55, D: +0.20]
EMOTION: angry",[-0.55  0.55  0.2 ],0.6383572667401852,True,False
I think my boyfriend is cheating on me,afraid,"Customer :That's terrible. Have you confronted him about it?
Agent :",afraid,afraid,angry,"REASONING: Suspecting a partner of cheating is a negative interpersonal betrayal, causing high arousal irritation and blame directed at a specific person, which aligns with anger rather than fear or sadness.
VAD_Estimate: [V: -0.60, A: +0.55, D: +0.20]
EMOTION: angry",[-0.6   0.55  0.2 ],0.6332456079595026,True,False
the braves are really good. i just dont know if we have the pitching to make a run,afraid,"Customer :at least you guys have votto!
Agent :",afraid,afraid,sad,"REASONING: The speaker is worried and uncertain about the team’s chances, expressing low-key doubt rather than excitement or anger. This creates a mild negative mood with low energy and a sense of helplessness about the outcome.
VAD_Estimate: [V: -0.35, A: -0.15, D: -0.30]
EMOTION: sad",[-0.35 -0.15 -0.3 ],0.8145550932871269,True,False
"i want to move to new york , buy its all new to me there",afraid,"Customer :Moving to a new place can make you uneasy, but once you make a couple of friends you'll get over it. 
Agent :",afraid,afraid,joyful,"REASONING: The speaker expresses a desire to move to New York and seems drawn to the newness of the experience, suggesting positive anticipation and excitement rather than dread. The novelty slightly lowers dominance due to uncertainty, but the overall tone is hopeful and forward-looking.
VAD_Estimate: [V: +0.55, A: +0.45, D: +0.10]
EMOTION: joyful",[0.55 0.45 0.1 ],1.3112970677920393,True,False
I don't think I'm going to do so well this semester.,afraid,"Customer :Why and what did happen?
Agent :",afraid,afraid,sad,"REASONING: The statement conveys pessimism and resignation about academic performance, with low energy and a sense of low control rather than active frustration or panic. This aligns with sadness.
VAD_Estimate: [V: -0.50, A: -0.30, D: -0.40]
EMOTION: sad",[-0.5 -0.3 -0.4],0.9113177272499421,True,False
My friend got into accident last month. His leg might  be removed!!,afraid,"Customer :That is too bad. Are they okay?
Agent :",afraid,afraid,sad,"REASONING: The news is severely negative and involves helpless concern for a loved one’s possible permanent injury, producing sorrowful distress and a low sense of control.
VAD_Estimate: [V: -0.80, A: +0.55, D: -0.45]
EMOTION: sad",[-0.8   0.55 -0.45],0.16881943016134135,True,False
There have been so many crimes near me lately. It is getting out of hand,afraid,"Customer :We are hoping too soon!
Agent :",afraid,afraid,angry,"REASONING: The speaker is expressing frustration about rising crime in their area, which is unpleasant and agitating. The phrase “getting out of hand” suggests active irritation and a complaint about the situation rather than passive sadness or overpowering fear, so valence is negative, arousal is high, and dominance is moderately assertive.
VAD_Estimate: [V: -0.60, A: +0.60, D: +0.20]
EMOTION: angry",[-0.6  0.6  0.2],0.6312685640834652,True,False
My car started to make loud noises coming out of engine. It happens while accelerating,afraid,"Customer :Oh no, do you know what's wrong? I hate car problems..
Agent :",afraid,afraid,angry,"REASONING: The speaker is describing an irritating car problem that disrupts driving; this is a common frustration trigger with no explicit fear or sense of danger. The loud noise creates moderate-to-high arousal, and the reaction is complaint-oriented rather than helpless or anxious, fitting anger more than fear.
VAD_Estimate: [V: -0.55, A: +0.55, D: +0.20]
EMOTION: angry",[-0.55  0.55  0.2 ],0.6383572667401852,True,False
