Situation,emotion,empathetic_dialogues,baseline_prediction,baseline_raw_output,theory_prediction,theory_raw_output,theory_estimated_vec,theory_true_vad_error,baseline_correct,theory_correct
I was cleaning out my basement and a giant rat jumped out at me. I nearly jumped out of my skin. It ran away and now I can't find it anywhere!,afraid,"Customer :The worst part is now I can't find it anywhere. I am terrified it is still in my house.
Agent :",afraid,afraid,surprised,"REASONING: The sudden appearance of the rat is unexpected and highly startling, producing elevated arousal and a reduced sense of control. The reaction is mainly surprise/startle rather than sustained fear or disgust, though the rat makes the valence mildly negative.
VAD_Estimate: [V: -0.25, A: +0.75, D: -0.25]
EMOTION: surprised",[-0.25  0.75 -0.25],0.45497252664309307,True,False
"i want to move to new york , buy its all new to me there",afraid,"Customer :I want to evertually move to new york and be closer to my brother and friend , im just a bit afraid as i really dont know much about anything there
Agent :",afraid,afraid,joyful,"REASONING: The speaker expresses a clear desire to move to New York, indicating positive anticipation and excitement about the new experience, even with some uncertainty about unfamiliarity. Valence is positive, arousal is moderately high, and dominance is moderate because the move is desired and self-directed.
VAD_Estimate: [V: +0.60, A: +0.50, D: +0.25]
EMOTION: joyful",[0.6  0.5  0.25],1.4177446878757824,True,False
the braves are really good. i just dont know if we have the pitching to make a run,afraid,"Customer :at least you guys have votto!
Agent :",afraid,afraid,sad,"REASONING: The statement expresses doubt and mild concern about the team’s chances, with a calmly negative tone rather than panic or excitement. Valence is somewhat negative, arousal is low, and dominance is low due to uncertainty and lack of control over the outcome.
VAD_Estimate: [V: -0.35, A: -0.20, D: -0.35]
EMOTION: sad",[-0.35 -0.2  -0.35],0.854692927313664,True,False
"I don't know what that thing is, but it has way too many legs for my comfort.",afraid,"Customer :I guess its an insect?
Agent :",afraid,afraid,disgusted,"REASONING: The unknown many-legged creature triggers visual revulsion and discomfort, with a desire to avoid or reject it rather than life-threatening panic. This yields negative valence, moderate arousal, and slight assertive avoidance.
VAD_Estimate: [V: -0.60, A: +0.35, D: +0.11]
EMOTION: disgusted",[-0.6   0.35  0.11],0.5964059020499378,True,False
I don't think I'm going to do so well this semester.,afraid,"Customer :Im not excited about this semester at all.
Agent :",afraid,afraid,sad,"REASONING: The statement expresses a negative outlook and low confidence about future performance, with a passive, resigned tone rather than high-energy anxiety or anger. This suggests unpleasantness, low arousal, and a sense of low control/helplessness, matching sadness.
VAD_Estimate: [V: -0.55, A: -0.30, D: -0.35]
EMOTION: sad",[-0.55 -0.3  -0.35],0.9080198235721507,True,False
I don't think I'm going to do so well this semester.,afraid,"Customer :Im working now and I dont want to be slammed
Agent :",afraid,afraid,sad,"REASONING: The statement reflects a pessimistic, low-energy expectation of failure, with passive resignation and a sense of helplessness rather than active panic or irritation. This aligns with sadness: negative valence, low arousal, and low dominance.

VAD_Estimate: [V: -0.60, A: -0.30, D: -0.40]
EMOTION: sad",[-0.6 -0.3 -0.4],0.9013878188659973,True,False
There was a giant spider in my bathroom. I hate spiders!,afraid,"Customer :I don't, but I was really worried it was a black widow. It really scared me.
Agent :",afraid,afraid,disgusted,"REASONING: The giant spider triggers strong revulsion and dislike, especially with the explicit “I hate spiders,” indicating disgust rather than anger or fear. Valence is negative, arousal is moderately elevated, and the speaker feels some rejection/avoidance control.
VAD_Estimate: [V: -0.62, A: +0.40, D: +0.10]
EMOTION: disgusted",[-0.62  0.4   0.1 ],0.5668333088307356,True,False
Our home was broken into right after we moved in and I felt this way.,afraid,"Customer :Oh really? Did you recover?
Agent :",afraid,afraid,angry,"REASONING: The break-in is a negative violation of home and property caused by an intruder, triggering irritation and blame. It is high-arousal and assertive rather than helpless, and there is no immediate life-threatening threat, so it aligns most closely with anger.
VAD_Estimate: [V: -0.55, A: +0.60, D: +0.25]
EMOTION: angry",[-0.55  0.6   0.25],0.6859300255857006,True,False
I keep hearing things in my kitchen. I think the mouse is back.,afraid,"Customer :probably, time to get the traps and get rid of it.
Agent :",afraid,afraid,disgusted,"REASONING: The situation is unpleasant because a pest is invading the kitchen, suggesting contamination and revulsion rather than panic or anger. There is moderate alertness from the sounds, but no helplessness or life-threatening fear.
VAD_Estimate: [V: -0.50, A: +0.30, D: +0.10]
EMOTION: disgusted",[-0.5  0.3  0.1],0.6248999919987198,True,False
I am old.  I am seperated from my wife.  I live far from my children.  For pragmatoic reasons I am the one that can file for divorce.  I do not want to die alone.,afraid,"Customer :That is riduculous.  Death is inevitible.
Agent :",afraid,afraid,sad,"REASONING: The situation reflects isolation, loss, and a resigned fear of dying alone; the tone is low-energy melancholy and helplessness rather than acute panic or anger. Negative valence, low arousal, and low dominance point to sadness.
VAD_Estimate: [V: -0.70, A: -0.30, D: -0.40]
EMOTION: sad",[-0.7 -0.3 -0.4],0.9024965373894793,True,False
